content,cond,time,headline,abstract,id,n,between_fixation_raw,button_raw,clue_onset_raw,rate_onset_raw,read_onset_raw,rt_raw,run_raw,within_fixation_raw,order
Nutrition,Wall,10,Berries Lower Heart Attack Risk in Women,"Blueberries and strawberries have large concentrations of the flavonoid anthocyanin, which may help lower blood pressure and improve blood vessel function.",61,1.0,28.725753784179688,2.0,12.0281982421875,25.717670440673828,14.545778274536133,26.78778648376465,1.0,24.564125061035156,0.0
Nutrition,Read,10,Vitamin Labels May Be Wrong,"The amounts of vitamin D present in supplements sold over the counter often bear little resemblance to the descriptions on the bottle labels, a new study concludes.",76,1.0,45.212059020996094,2.0,30.050527572631836,42.20648193359375,31.6456241607666,44.780635833740234,1.0,41.6645393371582,1.0
Disease,Friend,10,BPA Levels Tied to Obesity in Youths,"A study has found that the risk of obesity is higher among children with high urinary levels of the chemical, which is widely used in food packaging.",24,1.0,61.86952209472656,2.0,46.33082962036133,58.856170654296875,47.9201545715332,60.14865493774414,1.0,57.928829193115234,2.0
Fitness,Content,12,Risks: Coffee Linked to Fewer Oral Cancer Deaths,"A large study of 968,432 initially healthy men and women has found that drinking coffee is associated with a reduced risk of death from oral cancers.",45,1.0,83.17456817626953,2.0,65.70380401611328,80.06958770751953,67.31440734863281,81.98818969726562,1.0,79.31816864013672,3.0
Fitness,Content,10,Trans Fat Limits Show Benefits in New York,A study shows that the average amount of trans fat per purchase decreased over the two years before and after restrictions were put into place.,5,1.0,103.36410522460938,2.0,87.72525787353516,100.36315155029297,89.3309097290039,101.43584442138672,1.0,99.33302307128906,4.0
Age,Wall,12,Study Links Healthier Weight in Children With Strict Laws on School Snacks,"The study, conducted over three years in 40 states, is likely to stoke the debate over government efforts to reduce obesity rates.",13,1.0,121.50205993652344,3.0,104.37213897705078,118.494140625,105.94190979003906,119.13684844970703,1.0,117.952880859375,5.0
Fitness,Read,10,Live as Long as an Olympian,"Olympic athletes live longer, on average, than most of us. But certain sports, two new studies suggest, may be better than others when it comes to extending lifespan.",46,1.0,140.02320861816406,2.0,123.01242065429688,137.01060485839844,124.58074188232422,137.82330322265625,1.0,134.58306884765625,6.0
Fitness,Friend,12,No Vitamin D and Calcium for Older Bones,A government task force formally recommended on Monday that postmenopausal women avoid taking low daily doses of vitamin D and calcium to ward off bone fractures.,78,1.0,159.6912078857422,3.0,141.44955444335938,156.68048095703125,143.02883911132812,158.70803833007812,1.0,155.04052734375,7.0
Fitness,Content,10,Dangers of Too Much Calcium,New research suggests that older women who take large calcium supplements may be at increased risk of heart disease and death.,74,1.0,177.44415283203125,3.0,162.21844482421875,174.4294891357422,163.7868194580078,176.54356384277344,1.0,173.7926483154297,8.0
Laws,Read,8,Fitness Isn't Seen to Prevent Sports Injury,"In a study, Canadian researchers found no correlation between overall fitness and the time until a first injury.",7,1.0,193.09506225585938,4.0,178.47161865234375,190.08909606933594,180.055908203125,191.4126739501953,1.0,188.06097412109375,9.0
